what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366037173850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366037173850
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366037173850
java.vm.specification.version,sysinfo,,,"1.7",1366037173850
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366037173850
java.vm.version,sysinfo,,,"23.3-b01",1366037173850
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1366037173908
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1366037174057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037174479
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366037174869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037184129
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1366037186833
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366037186850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037187954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037194581
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366037195377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037197043
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1366037208689
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1366037208739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037209196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1366037209219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1366037209220
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1366037209284
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1366037210082
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1366037210084
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1366037212933
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1366037212935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037225772
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1366037235652
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1366037235652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037238408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037244689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037576525
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366037584578
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366037584698
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1366037586808
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1366037586990
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1366037587080
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1366037587432
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1366037587582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037592677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037597499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037598619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037599921
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366037600373
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1366037601190
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1366037601204
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1366037601206
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1366037601210
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1366037601212
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1366037601213
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1366037601213
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1366037601213
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1366037601215
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1366037601217
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1366037601219
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1366037601219
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366037601219
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1366037601222
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1366037601223
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1366037601228
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1366037601230
